trainer_id,goal_tags,styles_offered,personality_traits,bio,gender,availability,age_range_min,age_range_max,certifications,education,location,last_updated,years_experience
T011,"wellbeing coaching, long-term consistency, healthier routines","base fitness coaching, sustainable routines, easy movement progressions","confidence-building, understanding, gentle, supportive","I help clients build healthy habits through step-by-step training, low-pressure support, and movement that feels achievable.",Female,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Footscray,2026-03-31,6
T012,"routine creation, active living, confidence through training","movement basics, beginner onboarding, gradual training structure","welcoming, low-pressure, kind, consistent","My sessions are designed for people who want better wellbeing, a realistic routine, and a coach who is calm and easy to work with.",Male,Mon-Sat mornings and evenings,18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Footscray,2026-05-22,2
T013,"rehabilitation support, pain-free movement, post-injury return","corrective exercise, movement therapy, return-to-play work","cautious, technically precise, supportive, observant","I help clients return to exercise after injury through corrective exercise, controlled loading, and coaching that prioritises pain-free movement.",Male,"Mon-Fri mornings, Wed-Fri evenings",29,50,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Collingwood,2026-03-04,5
T014,"mobility restoration, movement recovery, training re-entry","mobility restoration sessions, controlled loading, rehabilitation exercise","safety-first, measured, patient, methodical","My work centres on mobility restoration and safe training re-entry, with careful progressions and a strong technical focus.",Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Prahran,2026-04-06,14
T015,"safe return to exercise, functional restoration, reduced pain","stability-focused coaching, low-impact strength therapy, technical movement work","clinical-minded, calm, detail-aware, reassuring","For clients rebuilding after injury, I design recovery-led programs that restore function, improve stability, and rebuild confidence.",Female,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Bachelor of Exercise Science,Hawthorn,2026-01-28,1
T016,"movement quality recovery, rebuild confidence after injury, restore function","therapeutic conditioning, recovery-led programming, corrective movement systems","attentive, conservative, clear, trustworthy",I specialise in movement therapy and rehabilitation exercise for people who want to train safely and move well again.,Female,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Diploma of Fitness,Toorak,2026-03-09,12
T017,"sports performance, power development, acceleration training","speed development, athlete prep, power coaching","performance-oriented, intense, demanding, goal-focused","I coach athletes and ambitious clients who want better speed, acceleration, and explosive power. Sessions are built around athlete prep and high-output training.",Male,Mon-Sat mornings and evenings,18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Footscray,2025-06-10,11
T018,"athletic conditioning, speed enhancement, force production","field-based conditioning, acceleration mechanics, jump development","high-expectation, direct, energetic, competitive","My coaching targets sports performance with sprint mechanics, reactive drills, and programs designed to increase force production.",Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Bachelor of Exercise Science,North Melbourne,2026-05-19,12
T019,"explosive capacity, game-readiness, higher output","performance systems, explosive movement coaching, sprint mechanics","elite-mindset, challenging, focused, standards-driven","If you want to move faster and perform better, I use power development, athletic conditioning, and demanding coaching to raise your output.",Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Bachelor of Exercise Science,Brunswick,2026-04-17,11
T020,"power-based sport prep, reaction improvement, athletic development","high-output training, athlete readiness blocks, reactive drills","sharp, driven, output-focused, tough but fair","I specialise in game-ready programming that improves jump ability, acceleration, and all-round athletic development.",Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Toorak,2026-01-19,12
T021,"endurance development, aerobic capacity, race preparation","distance coaching, tempo work, race-focused programming","steady, motivating, organised, patient","I coach runners and endurance-focused clients who want better stamina, smarter pacing, and race-ready fitness through structured run programming.",Female,"Mon-Fri mornings, Wed-Fri evenings",21,42,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Prahran,2024-07-09,6
T022,"cardiovascular conditioning, distance readiness, stamina improvement","aerobic training, pacing systems, long-run structure","measured, dependable, calm, accountability-led","My sessions improve aerobic capacity and long-distance capability using tempo work, measured progressions, and consistent accountability.",Female,Mon-Sat mornings and evenings,18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Prahran,2026-02-23,1
T023,"event prep, aerobic efficiency, long-distance capability","running periodisation, threshold sessions, event plans","structured, consistent, reassuring, focused","If you want to build your engine for long runs or events, I provide organised coaching around mileage, pacing, and cardiovascular conditioning.",Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Footscray,2025-12-15,12
T024,"engine building, pacing development, sustained performance","cardio endurance blocks, structured mileage, race strategy","practical, methodical, quietly motivating, reliable","I specialise in distance coaching with race preparation, threshold sessions, and calm support that keeps clients progressing.",Female,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Diploma of Fitness,Footscray,2026-05-19,13
T025,"mobility and mindfulness, flexibility gains, core stability","mindful movement, reformer-style pilates, restorative flow","centered, attentive, compassionate, calming","I help clients build flexibility, core stability, and a calmer body through mindful movement, restorative flow, and posture-focused coaching.",Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Prahran,2025-12-22,2
T026,"postural improvement, stress relief through movement, body awareness","mobility practice, breath-based training, posture-focused sessions","soothing, present, gentle, observant","My sessions combine breath-based training and mobility practice to reduce tension, improve alignment, and create better body awareness.",Any,Mon-Sat mornings and evenings,18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Certificate IV in Fitness,Melbourne CBD,2025-10-15,9
T027,"decompression, better alignment, deep core control","slow tempo core work, flexibility coaching, meditative movement","grounded, supportive, mindful, patient","If you want stress relief and stronger core control, I offer gentle coaching grounded in restorative movement and steady progress.",Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Prahran,2026-05-06,14
T028,"ease of movement, restorative strength, nervous system calm","restorative conditioning, alignment work, controlled mobility practice","warm, peaceful, detail-aware, caring","I specialise in low-impact mind-body training for people who want to move with more ease, balance, and confidence.",Female,Mon-Sat mornings and evenings,29,49,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Certificate IV in Fitness,Fitzroy,2026-01-02,12
T029,"prenatal fitness, postnatal recovery, motherhood strength coaching","pregnancy-safe training, postpartum strength rebuild, core restoration","compassionate, reassuring, empowering, calm","I support clients through pregnancy and the postnatal period with safe strength training, pelvic floor-aware movement, and coaching that rebuilds confidence.",Male,Mon-Sat mornings and evenings,18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Certificate IV in Fitness,Southbank,2026-05-10,12
T030,"pelvic floor-safe strength, safe training during pregnancy, confidence after birth","low-impact conditioning, pelvic floor-aware movement, motherhood coaching","nurturing, supportive, confidence-building, patient","My coaching helps new mums restore core function, return to exercise gradually, and feel strong again with calm and supportive guidance.",Male,Mon-Sat mornings and evenings,30,52,"NASM CPT, Certificate IV in Fitness, First Aid",Bachelor of Exercise Science,Richmond,2026-05-18,10
T031,"core restoration, postpartum rebuilding, low-risk conditioning","postnatal strength plans, controlled recovery sessions, gentle resistance programming","warm, maternal, safety-first, understanding",I specialise in prenatal fitness and postpartum rebuilding through low-impact conditioning and motherhood-specific programming.,Female,Mon-Sat mornings and evenings,27,47,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Footscray,2026-05-07,10
T032,"pregnancy-aware training, return-to-movement after birth, maternal wellbeing","safe maternal fitness, supportive conditioning, deep core rehab work","gentle, clear, experienced, encouraging","If you want pregnancy-safe training or a careful return after birth, I provide reassuring coaching that prioritises strength, energy, and safety.",Female,Mon-Sat mornings and evenings,28,48,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Certificate IV in Fitness,Footscray,2026-03-12,10
T033,"healthy aging, fall prevention, functional longevity","stability training, age-friendly strength, balance-focused sessions","gentle, safety-first, reassuring, observant","I work with older adults who want healthy aging, better balance, and the strength to stay independent in daily life.",Any,"Tue-Thu mornings, Sat mornings only",18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Bachelor of Exercise Science,Richmond,2026-03-21,1
T034,"senior strength, independence through movement, bone-supportive training","everyday movement coaching, low-impact functional fitness, supported resistance work","patient, clear, supportive, low-pressure","My coaching improves stability and functional longevity through safe strength development, low-impact movement, and patient guidance.",Female,Mon-Sat mornings and evenings,18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Bachelor of Exercise Science,North Melbourne,2026-05-31,9
T035,"stability improvement, active aging, confidence in daily movement","longevity programming, gentle load training, mobility-and-balance coaching","calm, trustworthy, attentive, considerate","I help clients age well with balance-focused sessions, practical movement training, and support that builds confidence without pressure.",Any,"Mon-Fri mornings, Wed-Fri evenings",25,47,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,South Yarra,2026-04-17,11
T036,"resilient later-life fitness, movement longevity, safe strength development","senior conditioning, safety-led strength work, practical movement sessions","kind, careful, confidence-building, practical","If you want senior-friendly strength coaching with a strong focus on safety and mobility, my programs are built for you.",Any,Mon-Sat mornings and evenings,18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Footscray,2025-09-13,9
T037,"boxing conditioning, combat fitness, confidence through movement","fight conditioning, boxing technique coaching, pad sessions","assertive, high-energy, confidence-building, engaging","I coach clients who want boxing conditioning, sharper reactions, and real confidence through movement. Sessions mix pad work, technique, and hard conditioning rounds.",Any,"Tue-Thu mornings, Sat mornings only",18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Hawthorn,2026-04-14,10
T038,"skill-based fat loss, sharper reactions, stress relief training","coordination drills, striking fundamentals, bag-and-mitt work","charismatic, motivating, sharp, encouraging","My style blends combat fitness with skill-based fat loss, using mitt work, footwork development, and energetic coaching.",Female,Mon-Sat mornings and evenings,22,47,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Certificate IV in Fitness,Footscray,2026-03-20,12
T039,"fight-style fitness, coordination improvement, empowerment through striking","combat movement coaching, footwork development, conditioning rounds","strong presence, lively, empowering, demanding","I help people feel stronger and more confident through boxing technique coaching, striking fundamentals, and fun high-energy sessions.",Female,Mon-Sat mornings and evenings,18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Certificate IV in Fitness,South Yarra,2025-05-11,12
T040,"reaction speed development, combat-inspired conditioning, self-belief building","boxing skill progressions, technical striking sessions, reaction drills","commanding, upbeat, energetic, fun","If you want stress relief, better coordination, and fight-style fitness, I build engaging programs that challenge you and build self-belief.",Any,Mon-Sat mornings and evenings,18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Hawthorn,2024-11-15,15
